Title,Price,Rating,Availability,Price_Number,Rating_Number,Price_Category
A Light in the Attic,£51.77,Three,In stock,51.77,3,Expensive
Tipping the Velvet,£53.74,One,In stock,53.74,1,Expensive
Soumission,£50.10,One,In stock,50.1,1,Expensive
Sharp Objects,£47.82,Four,In stock,47.82,4,Expensive
Sapiens: A Brief History of Humankind,£54.23,Five,In stock,54.23,5,Expensive
The Requiem Red,£22.65,One,In stock,22.65,1,Expensive
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,In stock,33.34,4,Expensive
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,In stock,17.93,3,Affordable
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,In stock,22.6,4,Expensive
The Black Maria,£52.15,One,In stock,52.15,1,Expensive
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,In stock,13.99,2,Affordable
Shakespeare's Sonnets,£20.66,Four,In stock,20.66,4,Expensive
Set Me Free,£17.46,Five,In stock,17.46,5,Affordable
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,In stock,52.29,5,Expensive
Rip it Up and Start Again,£35.02,Five,In stock,35.02,5,Expensive
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock,57.25,3,Expensive
Olio,£23.88,One,In stock,23.88,1,Expensive
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,In stock,37.59,1,Expensive
Libertarianism for Beginners,£51.33,Two,In stock,51.33,2,Expensive
It's Only the Himalayas,£45.17,Two,In stock,45.17,2,Expensive
